dL,L_b,L_d,T_bd,lambda
23.02192721288148,25.240011720131136,48.261938933012615,78,0.011989401244186501
33.20004455528808,24.16656966413909,57.36661421942717,114,0.01094033920176494
27.985716025011385,21.633878688323733,49.61959471333512,108,0.011089051903348983
28.542697675777642,23.133583501599194,51.676281177376836,105,0.011042985603274765
27.525928550414353,23.81598787667453,51.34191642708888,111,0.009983844646344555
33.08885926880926,31.711774712932733,64.800633981742,108,0.009546197309487763
34.38786010515106,28.771836705839654,63.15969681099072,93,0.012197278758284564
24.727468200230867,25.870132922675644,50.59760112290651,84,0.011521208575885815
27.878050857834197,32.906392320733126,60.78444317856732,63,0.014052924920486995
29.482608644208224,28.944434981288918,58.42704362549714,81,0.012510497497861258
30.237402457979453,31.737211166063144,61.9746136240426,78,0.01237823091938443
34.20027079585854,31.074448410050874,65.27471920590942,78,0.0137281482520526
36.72797915335125,28.69779140342792,65.42577055677917,87,0.013665739082616982
29.36121407165682,28.833452356658146,58.19466642831497,72,0.014071435389004568
29.338090304125355,28.395121535210034,57.73321183933539,96,0.010664150015649602
26.342328803738017,29.729203664710273,56.07153246844829,87,0.01052169747994065
31.953779700990367,35.07492541611593,67.0287051171063,78,0.011978705481680375
29.790137582592198,27.479272747464417,57.269410330056616,78,0.013582319563082776
33.001093154940186,37.16795410585963,70.16904726079981,66,0.013890537819835286
28.089536517431227,27.87331060240595,55.96284711983718,69,0.014573695588500158
30.045510768819096,24.115375687936403,54.1608864567555,105,0.011117124439536214
31.94843947494332,29.304797478215143,61.25323695315846,96,0.011079679363247146
36.29441493161543,29.608223255924422,65.90263818753985,114,0.01012577456643106
28.764393090435725,23.954741984478098,52.71913507491382,96,0.011854327363852396
35.60762711660893,36.65799227113623,72.26561938774516,60,0.016319694509528845
24.637768157100883,25.103706821927428,49.74147497902831,90,0.010961654217043574
27.68858437232684,26.165545773546707,53.85413014587355,90,0.011570984883853457
27.716946685390976,25.493663902401753,53.21061058779273,96,0.01105807529895921
33.80878077211712,33.827833455850964,67.63661422796808,93,0.010748318943843767
26.813377877834338,29.59489881252595,56.40827669036029,81,0.011488374546266122
29.359550022022248,22.901694504908413,52.26124452693066,99,0.01202310235328071
29.592783655368198,25.30885007827163,54.90163373363983,90,0.012413412461535954
42.013575534871485,30.13382906578412,72.1474046006556,114,0.01104880255119191
44.24737582086099,24.571745121863195,68.81912094272418,126,0.01179213603429653
28.783306585126315,31.820533200232884,60.6038397853592,93,0.009994098856183884
36.328428512472385,31.401398932012018,67.7298274444844,102,0.010872181251025842
24.614970515247954,32.00748081840015,56.6224513336481,84,0.009797203286534537
29.62578799587537,37.97346155511711,67.59924955099248,78,0.010666868122897922
29.78355553567658,26.761303255171743,56.54485879084832,81,0.013324042971089774
31.7713535094717,30.004438230965313,61.775791740437015,84,0.012403162821845668
23.453873493222133,27.188276827090085,50.64215032031222,66,0.013596271926367746
