dLambda_if,dLambda_ib,Lambda_b,Lambda_f,Lambda_i,T_ib,T_if,R_if,alpha
1.1362028109465359,0.5222383310638321,1.5272670878870849,2.145227035743252,1.0090242247967163,44.0,78.0,2.1260411623669806,0.013950891400193979
1.1441261313254572,0.5123871343068485,1.7144130111679101,2.398311832983013,1.2541857016575557,38.0,79.0,1.9122461927395267,0.01183883893043781
0.8753970870605099,0.6945986084151285,1.7629202573901497,1.9803973963202213,1.1050003092597114,46.0,58.0,1.7922143367063645,0.014512813522022423
1.2521677476058426,0.7324894947851328,1.8380667308379484,2.3461227367099635,1.093954989104121,54.0,77.0,2.144624559582006,0.01429513129859675
0.7386760651739107,0.6421260847150172,1.5955134289762718,1.636970055733744,0.8982939905598334,65.0,67.0,1.8223099263010256,0.012921915581254158
0.8478476687528196,0.8278338864279111,1.7783494848351649,1.9822172678635184,1.1343695991106988,55.0,55.0,1.7474174814077341,0.01464044233775529
1.3215170466231883,0.6644851240759309,1.8580689382863214,2.533711457526318,1.2121944109031297,48.0,81.0,2.090185728243549,0.013131248666376147
1.3155043517076794,0.7644429082181685,1.9754634929339283,2.5876531539390513,1.2721488022313718,43.0,69.0,2.034080564632267,0.014846040894482883
1.2254143452628536,0.647212594428034,1.6901371676184969,2.3175455372666898,1.0921311920038361,49.0,85.0,2.122039507922551,0.01277001784066934
1.9459968291731253,0.7134040325845248,2.315733225704767,3.4415815028143486,1.4955846736412233,60.0,116.0,2.301161253836138,0.010365190378750513
1.0674274838668647,0.6579538858138985,1.7685235094356464,2.2237939095332013,1.1563664256663366,50.0,78.0,1.9230875786209183,0.012095185454047893
1.0090159634083247,0.7082461308444251,1.5193394714393806,1.8283494825646944,0.8193335191563698,67.0,87.0,2.2315082195676093,0.01331056460508063
1.4678940113478431,0.5927390554600978,1.7503885588055654,2.6183157050603865,1.1504216937125433,53.0,106.0,2.2759616924562507,0.011193172408687765
1.0822963677358246,0.5835907641070943,1.715891934905522,2.190938560659133,1.1086421929233083,62.0,91.0,1.9762359529921785,0.010799507780221915
0.916294220030252,0.5258300404643599,1.351480986020388,1.7995252962710044,0.8832310762407525,56.0,93.0,2.0374343075995744,0.0110403606849245
