dL,dL_bi,L_b,L_d,L_i,T_bd,T_bi,R_db,lambda
1.8788999999999998,0.31659999999999977,2.0234,3.9023,2.34,216.0,45.0,1.9285855490758128,0.0032949999999999993
1.625,0.06909999999999972,2.084,3.709,2.1531,174.0,9.0,1.7797504798464492,0.0034916666666666664
1.8252000000000002,0.4081999999999999,1.9541,3.7793,2.3623,195.0,51.0,1.9340361291643213,0.0036933333333333336
1.7538999999999998,-0.009300000000000086,2.1543,3.9082,2.145,147.0,18.0,1.814139163533398,0.004483333333333333
1.7598000000000003,0.06430000000000025,2.4707,4.2305,2.535,210.0,9.0,1.7122677783624076,0.00249
1.334,-0.0965999999999998,2.0801,3.4141,1.9835,162.0,-21.0,1.64131532137878,0.0029683333333333337
1.5244,0.06780000000000008,1.8213,3.3457,1.8891,168.0,9.0,1.8369845714599462,0.003703333333333333
1.6806,0.11509999999999998,1.71,3.3906,1.8251,153.0,15.0,1.9828070175438597,0.004658333333333334
1.8545000000000003,0.2048000000000001,1.6904,3.5449,1.8952,189.0,27.0,2.097077614765736,0.004196666666666667
1.8965,0.43930000000000025,2.0957,3.9922,2.535,273.0,81.0,1.904948227322613,0.0023666666666666662
1.7099000000000002,0.19130000000000003,1.9131,3.623,2.1044,300.0,48.0,1.8937849563535625,0.00201
2.3251999999999997,0.2481,1.9131,4.2383,2.1612,342.0,60.0,2.2154095447179967,0.002075
1.8866999999999998,0.45100000000000007,2.084,3.9707,2.535,216.0,66.0,1.9053262955854124,0.0029783333333333333
1.8828,0.2559999999999998,2.084,3.9668,2.34,246.0,39.0,1.9034548944337812,0.0028683333333333334
1.8241999999999998,0.25849999999999973,2.1465,3.9707,2.405,204.0,39.0,1.8498485907290938,0.00293
1.6229999999999998,0.06099999999999994,2.084,3.707,2.145,174.0,9.0,1.7787907869481765,0.0034100000000000003
1.7637,0.39349999999999996,2.0156,3.7793,2.4091,162.0,45.0,1.875024806509228,0.0038399999999999997
1.8232,0.3250000000000002,1.626,3.4492,1.951,195.0,48.0,2.121279212792128,0.003791666666666667
1.6260000000000001,0.2691999999999999,1.7549,3.3809,2.0241,162.0,36.0,1.926548521283264,0.0041266666666666665
4.1055,0.5267000000000002,1.6914,5.7969,2.2181,531.0,141.0,3.427279177013125,0.0019366666666666666
1.8477000000000001,-0.1956,2.0156,3.8633,1.82,183.0,-33.0,1.916699742012304,0.0036300000000000004
1.5897999999999999,-0.2277,1.9512,3.541,1.7235,183.0,-33.0,1.814780647806478,0.0031716666666666664
1.6347999999999998,0.13379999999999992,1.8203,3.4551,1.9541,162.0,18.0,1.8980937208152502,0.0040950000000000005
1.7441,0.06440000000000001,1.9668,3.7109,2.0312,195.0,9.0,1.8867703884482407,0.003293333333333333
